fips,population
45001,24541
45003,169401
45005,8903
45007,200482
45009,14275
45011,21112
45013,188715
45015,221091
45017,14520
45019,405905
45021,57078
45023,32251
45025,45754
45027,33700
45029,37660
45031,66802
45033,30599
45035,160647
45037,27052
45039,22402
45041,138159
45043,62249
45045,514213
45047,70741
45049,19351
45051,344147
45053,28971
45055,65592
45057,95380
45059,66994
45061,17142
45063,295032
45065,9410
45067,31039
45069,26398
45071,38520
45073,78374
45075,86934
45077,124937
45079,414576
45081,20544
45083,313888
45085,106512
45087,27410
45089,30606
45091,274118
